Name,Date,Value,Ud,Set
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-01-01,-0.568,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-02-01,-0.566,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-03-01,-0.565,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-04-01,-0.564,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-05-01,-0.565,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-06-01,-0.567,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-07-01,-0.566,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-08-01,-0.571,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-09-01,-0.57,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-10-01,-0.57,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-11-01,-0.573,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2021-12-01,-0.58,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-01-01,-0.576,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-02-01,-0.571,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-03-01,-0.569,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-04-01,-0.569,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-05-01,-0.568,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-06-01,-0.57,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-07-01,-0.457,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-08-01,-0.071,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.,2022-09-01,0.424,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-01-01,-0.562,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-02-01,-0.553,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-03-01,-0.553,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-04-01,-0.555,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-05-01,-0.558,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-06-01,-0.555,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2021-07-01,-0.556,%,BCE_TIPOS
